Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
28-06-2018,MAHARASHTRA,WARDHA,1.18,-,8.23,43.05168515
28-06-2018,MAHARASHTRA,BULDANA,1.2,-,7.18,39.93045
28-06-2018,MAHARASHTRA,SINDHUDURG,7.85,-,52.63,39.49950773
27-06-2018,MAHARASHTRA,WASHIM,0.09,-,0.62,45.26583091
27-06-2018,MAHARASHTRA,SATARA,5.68,-,45.28,34.95505099
27-06-2018,MAHARASHTRA,PUNE,2.52,-,16.76,36.43884411
27-06-2018,MAHARASHTRA,PARBHANI,0.14,-,0.9,40.36218171
27-06-2018,MAHARASHTRA,JALNA,0.45,-,2.71,37.5957832
27-06-2018,MAHARASHTRA,GONDIYA,0.52,-,3.71,39.90370744
27-06-2018,MAHARASHTRA,MUMBAI,0,-,0,43.73252472
27-06-2018,MAHARASHTRA,NASHIK,1.98,-,13.1,34.56026613
27-06-2018,MAHARASHTRA,GARHCHIROLI,2.21,-,16.61,37.17319901
27-06-2018,MAHARASHTRA,RATNAGIRI,6.42,-,40.74,37.44319779
27-06-2018,MAHARASHTRA,OSMANABAD,2.08,-,21.04,36.35444222
27-06-2018,MAHARASHTRA,BID,1.53,-,13.86,35.98823061
27-06-2018,MAHARASHTRA,LATUR,4.92,-,45.9,38.94943821
27-06-2018,MAHARASHTRA,YAVATMAL,0.36,-,2.69,43.18844038
27-06-2018,MAHARASHTRA,BHANDARA,1.58,-,14.86,40.08927412
27-06-2018,MAHARASHTRA,MUMBAI SUBURBAN,0.5,-,4.96,41.06843243
27-06-2018,MAHARASHTRA,NANDURBAR,0.38,-,2.24,36.15007328
27-06-2018,MAHARASHTRA,NAGPUR,1.88,-,20.35,42.73358557
27-06-2018,MAHARASHTRA,CHANDRAPUR,0.67,-,4.88,42.5107603
27-06-2018,MAHARASHTRA,JALGAON,0.66,-,4.26,37.20033848
27-06-2018,MAHARASHTRA,HINGOLI,0.55,-,3.59,41.59417192
27-06-2018,MAHARASHTRA,AKOLA,0.6,-,4.13,44.29911786
27-06-2018,MAHARASHTRA,AURANGABAD,0.41,-,2.64,36.82465833
27-06-2018,MAHARASHTRA,DHULE,0.88,-,6.04,39.27509858
27-06-2018,MAHARASHTRA,KOLHAPUR,7.96,-,64.04,40.10951152
27-06-2018,MAHARASHTRA,RAIGARH,5.28,-,37.53,34.6059607
27-06-2018,MAHARASHTRA,AMRAVATI,0.81,-,6.2,40.76618883
27-06-2018,MAHARASHTRA,NANDED,0.53,-,4.09,41.45887569
27-06-2018,MAHARASHTRA,SOLAPUR,1.27,-,10.93,35.59250591
27-06-2018,MAHARASHTRA,AHMADNAGAR,0.92,-,7.03,35.57595555
27-06-2018,MAHARASHTRA,THANE,3.84,-,27.88,33.16784553
27-06-2018,MAHARASHTRA,SANGLI,3.49,-,28.35,35.84869237
27-06-2018,MAHARASHTRA,WARDHA,0.51,-,3.48,42.34967147
27-06-2018,MAHARASHTRA,BULDANA,1.12,-,6.72,41.04486028
27-06-2018,MAHARASHTRA,SINDHUDURG,6.59,-,44.08,37.59156727
26-06-2018,MAHARASHTRA,WASHIM,0.04,-,0.29,45.37780247
26-06-2018,MAHARASHTRA,SATARA,6.12,-,48.44,36.71222144
26-06-2018,MAHARASHTRA,PUNE,2.86,-,18.77,36.87628148
26-06-2018,MAHARASHTRA,PARBHANI,0.11,-,0.71,41.36675411
26-06-2018,MAHARASHTRA,JALNA,0.41,-,2.41,38.49865704
26-06-2018,MAHARASHTRA,GONDIYA,0.05,-,0.57,30.36487847
26-06-2018,MAHARASHTRA,MUMBAI,0,-,0,45.28020038
