Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
23-06-2018,ANDHRA PRADESH,KURNOOL,4.41,-,34.73,30.43214951
23-06-2018,ANDHRA PRADESH,KRISHNA,1.21,-,9.98,35.47238485
23-06-2018,ANDHRA PRADESH,SRIKAKULAM,2.32,-,19.51,34.36156308
23-06-2018,ANDHRA PRADESH,Y.S.R.,2.87,-,20.08,27.44571852
23-06-2018,ANDHRA PRADESH,CHITTOOR,4.22,-,28.33,29.44847299
23-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.74,-,5.97,32.49609113
23-06-2018,ANDHRA PRADESH,GUNTUR,0.13,-,1.06,33.15188071
23-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,0.9,-,7.85,34.61651522
22-06-2018,ANDHRA PRADESH,PRAKASAM,0.66,-,4.52,27.24272177
22-06-2018,ANDHRA PRADESH,VIZIANAGARAM,1.21,-,10.2,38.14871111
22-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.2,-,1.78,28.05376372
22-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.56,-,3.85,26.48936315
22-06-2018,ANDHRA PRADESH,ANANTAPUR,2.79,-,19.5,25.94474837
22-06-2018,ANDHRA PRADESH,KURNOOL,4.54,-,35.75,29.76848602
22-06-2018,ANDHRA PRADESH,KRISHNA,1.17,-,9.57,30.36956113
22-06-2018,ANDHRA PRADESH,SRIKAKULAM,2.48,-,20.61,35.80591929
22-06-2018,ANDHRA PRADESH,Y.S.R.,2.99,-,20.99,27.47625706
22-06-2018,ANDHRA PRADESH,CHITTOOR,4.36,-,29.29,29.210709
22-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.59,-,5.02,30.42307452
22-06-2018,ANDHRA PRADESH,GUNTUR,0.13,-,1.04,31.01358653
22-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,0.95,-,8.23,34.7810242
21-06-2018,ANDHRA PRADESH,PRAKASAM,0.69,-,4.7,26.50740105
21-06-2018,ANDHRA PRADESH,VIZIANAGARAM,1.39,-,11.61,41.76788196
21-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.2,-,1.8,28.21351743
21-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.59,-,4.07,27.27095437
21-06-2018,ANDHRA PRADESH,ANANTAPUR,2.94,-,20.6,26.68059238
21-06-2018,ANDHRA PRADESH,KURNOOL,4.76,-,37.51,29.42053536
21-06-2018,ANDHRA PRADESH,KRISHNA,1.18,-,9.65,28.04947609
21-06-2018,ANDHRA PRADESH,SRIKAKULAM,2.65,-,21.63,38.49011324
21-06-2018,ANDHRA PRADESH,Y.S.R.,3.12,-,21.97,28.80858349
21-06-2018,ANDHRA PRADESH,CHITTOOR,4.49,-,30.21,30.21147055
21-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.75,-,5.99,31.5861534
21-06-2018,ANDHRA PRADESH,GUNTUR,0.12,-,0.96,28.11067944
21-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,1.09,-,9.06,37.63852696
20-06-2018,ANDHRA PRADESH,PRAKASAM,0.73,-,4.98,26.83471191
20-06-2018,ANDHRA PRADESH,VIZIANAGARAM,0.79,-,7.05,35.52073203
20-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.21,-,1.82,27.36081283
20-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.61,-,4.24,27.34205771
20-06-2018,ANDHRA PRADESH,ANANTAPUR,3.1,-,21.83,26.865325
20-06-2018,ANDHRA PRADESH,KURNOOL,5.05,-,39.79,30.44441646
20-06-2018,ANDHRA PRADESH,KRISHNA,1.19,-,9.76,27.15724972
