Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
21-01-2020,TELANGANA,NALGONDA,0,1373.48,0,18.86781221
21-01-2020,TELANGANA,KARIMNAGAR,0,1128.97,0,18.4688068
21-01-2020,TELANGANA,MAHBUBNAGAR,0,1631.88,0,17.13949399
21-01-2020,TELANGANA,RANGAREDDY,0,815.4,0,20.91764539
21-01-2020,TELANGANA,MEDAK,0,1189.01,0,23.65242082
20-01-2020,TELANGANA,ADILABAD,0,2024.77,0,24.61742983
20-01-2020,TELANGANA,NIZAMABAD,0,878.17,0,21.60171568
20-01-2020,TELANGANA,KHAMMAM,0,1630.97,0,19.67861712
20-01-2020,TELANGANA,HYDERABAD,0,4.22,0,4.595557443
20-01-2020,TELANGANA,WARANGAL,0,1398.59,0,21.21111222
20-01-2020,TELANGANA,NALGONDA,0,1383.7,0,19.00827402
20-01-2020,TELANGANA,KARIMNAGAR,0,1135.84,0,18.58127248
20-01-2020,TELANGANA,MAHBUBNAGAR,0,1639.06,0,17.21481277
20-01-2020,TELANGANA,RANGAREDDY,0,820.29,0,21.04304272
20-01-2020,TELANGANA,MEDAK,0,1195.75,0,23.78654299
19-01-2020,TELANGANA,ADILABAD,0,2031.96,0,24.70485954
19-01-2020,TELANGANA,NIZAMABAD,0,884.82,0,21.76542419
19-01-2020,TELANGANA,KHAMMAM,0,1628.01,0,19.64294284
19-01-2020,TELANGANA,HYDERABAD,0,4.37,0,4.759241399
19-01-2020,TELANGANA,WARANGAL,0,1404.95,0,21.30755589
19-01-2020,TELANGANA,NALGONDA,0,1393.88,0,19.14801419
19-01-2020,TELANGANA,KARIMNAGAR,0,1140.92,0,18.66432131
19-01-2020,TELANGANA,MAHBUBNAGAR,0,1646.27,0,17.29059675
19-01-2020,TELANGANA,RANGAREDDY,0,824.81,0,21.15898699
19-01-2020,TELANGANA,MEDAK,0,1202.07,0,23.91215824
18-01-2020,TELANGANA,ADILABAD,0,2042.58,0,24.83387355
18-01-2020,TELANGANA,NIZAMABAD,0,891.88,0,21.93896178
18-01-2020,TELANGANA,KHAMMAM,0,1639.48,0,19.78135609
18-01-2020,TELANGANA,HYDERABAD,0,4.54,0,4.9424336
18-01-2020,TELANGANA,WARANGAL,0,1414.34,0,21.45009011
18-01-2020,TELANGANA,NALGONDA,0,1404.47,0,19.29356571
18-01-2020,TELANGANA,KARIMNAGAR,0,1148.46,0,18.78770383
18-01-2020,TELANGANA,MAHBUBNAGAR,0,1653.6,0,17.36756221
18-01-2020,TELANGANA,RANGAREDDY,0,829.49,0,21.27911871
18-01-2020,TELANGANA,MEDAK,0,1208.77,0,24.04537719
17-01-2020,TELANGANA,ADILABAD,0,2055.01,0,24.98504516
17-01-2020,TELANGANA,NIZAMABAD,0,897.52,0,22.07774102
17-01-2020,TELANGANA,KHAMMAM,0,1648.63,0,19.89176667
17-01-2020,TELANGANA,HYDERABAD,0,4.68,0,5.09421346
17-01-2020,TELANGANA,WARANGAL,0,1423,0,21.58140543
17-01-2020,TELANGANA,NALGONDA,0,1411.88,0,19.39527601
17-01-2020,TELANGANA,KARIMNAGAR,0,1153.91,0,18.87688698
17-01-2020,TELANGANA,MAHBUBNAGAR,0,1657.44,0,17.40788868
17-01-2020,TELANGANA,RANGAREDDY,0,832.49,0,21.35609053
17-01-2020,TELANGANA,MEDAK,0,1213.8,0,24.14545886
16-01-2020,TELANGANA,ADILABAD,0,2068.53,0,25.14948391
16-01-2020,TELANGANA,NIZAMABAD,0,905.26,0,22.26810405
16-01-2020,TELANGANA,KHAMMAM,0,1662.02,0,20.05330741
16-01-2020,TELANGANA,HYDERABAD,0,4.88,0,5.315766258
16-01-2020,TELANGANA,WARANGAL,0,1433.52,0,21.74097074
16-01-2020,TELANGANA,NALGONDA,0,1423.88,0,19.56011128
16-01-2020,TELANGANA,KARIMNAGAR,0,1161.87,0,19.00694917
16-01-2020,TELANGANA,MAHBUBNAGAR,0,1665.75,0,17.49519688
16-01-2020,TELANGANA,RANGAREDDY,0,838.07,0,21.4991586
16-01-2020,TELANGANA,MEDAK,0,1221.39,0,24.29653502
15-01-2020,TELANGANA,ADILABAD,0,2082.43,0,25.31842935
