"State					",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Tamil Nadu	",Total,1828.91,1721.26,1907.41,2036.24,2217.27,6638.86,6130.93,7171.14,6881.16,7906.62,3630,3562,3760,3379,3566
"Telangana	",Kharif,1047,1189,1096,1800,2374,2946.26,4134.15,4021.22,5439.6,7834.2,2814,3477,3669,3022,3300
"Telangana	",Rabi,915,743,915,1386.4,1280.9,3315.96,2535.86,3406.55,4777.53,4575.37,3624,3413,3723,3446,3572
"Telangana	",Total,1962,1932,2011,3186.4,3654.9,6262.22,6670.01,7427.77,10217.13,12409.57,3192,3452,3694,3206,3395
"Tripura	",Kharif,201.84,198.64,196.76,198.19,190.7,576.98,560.65,582.14,585.27,585.27,2859,2822,2959,2953,3069
"Tripura	",Rabi,72.24,70.74,70.58,65.6,65.04,235.08,232.53,228.1,217.85,225.67,3254,3287,3232,3321,3470
"Tripura	",Total,274.09,269.39,267.34,263.79,255.74,812.06,793.18,810.24,803.12,810.95,2963,2944,3031,3045,3171
"Uttarakhand	",Kharif,239,239,230,238,233,604.91,561.65,597.77,657.36,624.44,2531,2350,2599,2762,2680
"Uttarakhand	",Rabi,13,17,17,16,24,41.78,55.91,60.61,57.52,91.61,3214,3289,3565,3595,3817
"Uttarakhand	",Total,252,256,247,254,257,646.69,617.56,658.38,714.88,716.05,2566,2412,2665,2814,2786
"Uttar Pradesh	",Kharif,5788,5719,5711,5652,5676,13196.64,15458.46,15436.83,15429.96,15183.3,2280,2703,2703,2730,2675
"Uttar Pradesh	",Rabi,26,29,26,26,27,77.35,86.83,80.96,90.06,88.24,2975,2994,3114,3464,3268
"Uttar Pradesh	",Total,5814,5748,5737,5678,5703,13273.99,15545.28,15517.8,15520.02,15271.54,2283,2704,2705,2733,2678
"West Bengal	",Kharif,3858,4233.07,4219.2,4300.08,4285.54,10690.52,11891.91,11341.22,11855.32,12205.2,2771,2809,2688,2757,2848
"West Bengal	",Rabi,1257.8,1279.5,1271.77,1285.55,1300.22,4276.52,4350.3,4540.23,4669.12,4523.46,3400,3400,3570,3632,3479
"West Bengal	",Total,5115.8,5512.57,5490.98,5585.63,5585.75,14967.04,16242.21,15881.44,16524.44,16728.66,2926,2946,2892,2958,2995
All India,Kharif,39349.27,39964.35,39012.96,40357.97,41038.41,97135.16,102039.99,102276.51,105208.14,111000.79,2469,2553,2622,2607,2705
All India,Rabi,4424.8,4192.09,4649.34,5410.71,5240.27,15622.44,14437.83,16593.81,19160.18,18470.63,3531,3444,3569,3541,3525
All India,Total,43774.07,44156.45,43662.3,45768.69,46278.68,112757.61,116477.82,118870.32,124368.32,129471.42,2576,2638,2722,2717,2798
